measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,103,Latin America and Caribbean,1,Male,22,All ages,1004,Pulmonary Arterial Hypertension,2,Percent,2023,2.3139280083e-05,2.90158482681e-05,1.86828317155e-05
5,Prevalence,103,Latin America and Caribbean,2,Female,22,All ages,1004,Pulmonary Arterial Hypertension,2,Percent,2023,3.96268336091e-05,4.87318946225e-05,3.23159114671e-05
5,Prevalence,105,Antigua and Barbuda,1,Male,22,All ages,1004,Pulmonary Arterial Hypertension,2,Percent,2023,2.38501674367e-05,3.01557281534e-05,1.89953680599e-05
5,Prevalence,105,Antigua and Barbuda,2,Female,22,All ages,1004,Pulmonary Arterial Hypertension,2,Percent,2023,4.22710084413e-05,5.24478447248e-05,3.42578577288e-05
5,Prevalence,103,Latin America and Caribbean,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0781619217472734,0.0836670189584839,0.0736972224280157
5,Prevalence,103,Latin America and Caribbean,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0791285679316967,0.0853231434859266,0.0737761165346948
5,Prevalence,107,Barbados,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1267907410168917,0.1391806138581338,0.1169716923473361
5,Prevalence,107,Barbados,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1346978766246984,0.146354583358857,0.1232019141066864
5,Prevalence,131,Nicaragua,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0512225964330249,0.055574547821606,0.0474496520422689
5,Prevalence,131,Nicaragua,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0602038124627533,0.0654594786143909,0.0557519959281388
5,Prevalence,112,Grenada,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1136373026823335,0.1216617380178974,0.1048805972148115
5,Prevalence,112,Grenada,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1176099191920896,0.1272880833015908,0.108736449302766
5,Prevalence,110,Dominica,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1135439759673723,0.1225933650549302,0.1039225140459298
5,Prevalence,110,Dominica,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.115439435715646,0.125732167634801,0.1066747619743408
5,Prevalence,107,Barbados,1,Male,22,All ages,492,Rheumatic heart disease,2,Percent,2023,0.0003112950203849,0.000370991717129,0.000261567401267
5,Prevalence,107,Barbados,2,Female,22,All ages,492,Rheumatic heart disease,2,Percent,2023,0.0003041774640244,0.0003621754869688,0.0002566510353645
5,Prevalence,107,Barbados,1,Male,22,All ages,494,Stroke,2,Percent,2023,0.0168323699767832,0.0176620170638806,0.0160727734702341
5,Prevalence,107,Barbados,2,Female,22,All ages,494,Stroke,2,Percent,2023,0.0186927649322376,0.0195637464734654,0.017898551609094
5,Prevalence,106,Bahamas,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0835083997030581,0.0920060148785236,0.0754570951558683
5,Prevalence,106,Bahamas,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0840086788121169,0.0923983008243337,0.0767898416745098
5,Prevalence,103,Latin America and Caribbean,1,Male,22,All ages,503,Endocarditis,2,Percent,2023,4.58310876377e-05,5.31800386846e-05,3.94448415649e-05
5,Prevalence,103,Latin America and Caribbean,2,Female,22,All ages,503,Endocarditis,2,Percent,2023,4.16094965447e-05,4.84210375389e-05,3.57871025668e-05
5,Prevalence,113,Guyana,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.075878667414915,0.0828756075861405,0.0699947652034446
5,Prevalence,113,Guyana,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0744710040725844,0.0809564984225578,0.0686042448317319
5,Prevalence,105,Antigua and Barbuda,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1015223205446358,0.1113907394128231,0.0930485326667334
5,Prevalence,105,Antigua and Barbuda,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0950821037745456,0.103076927394039,0.0874309844515538
5,Prevalence,109,Cuba,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1493502245690438,0.1645042515133023,0.1392683858695516
5,Prevalence,109,Cuba,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.1434439924792472,0.155672005306663,0.1331989531216002
5,Prevalence,104,Caribbean,1,Male,22,All ages,1004,Pulmonary Arterial Hypertension,2,Percent,2023,1.94684529878e-05,2.43572676174e-05,1.56665589879e-05
5,Prevalence,104,Caribbean,2,Female,22,All ages,1004,Pulmonary Arterial Hypertension,2,Percent,2023,3.35166006568e-05,4.15422825229e-05,2.7171131587e-05
5,Prevalence,104,Caribbean,1,Male,22,All ages,503,Endocarditis,2,Percent,2023,3.85151564988e-05,4.45156792895e-05,3.32819730123e-05
5,Prevalence,104,Caribbean,2,Female,22,All ages,503,Endocarditis,2,Percent,2023,2.92533027597e-05,3.38100884013e-05,2.51741259947e-05
5,Prevalence,115,Jamaica,1,Male,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0886018815148801,0.0956744100282842,0.082293317000496
5,Prevalence,115,Jamaica,2,Female,22,All ages,491,Cardiovascular diseases,2,Percent,2023,0.0913989488752085,0.0986208698344831,0.0855871110540259
5,Prevalence,107,Barbados,1,Male,22,All ages,499,Cardiomyopathy and myocarditis,2,Percent,2023,0.0020591509166488,0.0024803128637706,0.0016551881978492
5,Prevalence,107,Barbados,2,Female,22,All ages,499,Cardiomyopathy and myocarditis,2,Percent,2023,0.0010260246505445,0.0012516030400056,0.0007903647715835
